country,growth_rate
Afghanistan,2.5
Albania,3.702
Algeria,1.457
Antigua and Barbuda,2.685
Argentina,2.464
Armenia,3.547
Australia,2.211
Austria,2.29
Azerbaijan,-1.04
Bahrain,2.48
Bangladesh,13.438
Barbados,0.882
"Belarus	",0.735
Belgium,1.648
Belize,2.506
Benin,5.401
Bolivia,4.2
Bosnia and Herzegovina,2.5
Botswana,4.477
Brazil,0.748
Brunei Darussalam,-1.265
Bulgaria,3.6
Burkina Faso,6.384
Cabo Verde,3.988
Cambodia,6.947
Cameroon,3.972
Canada,7.146
Cayman Islands,3.036
Central African Republic,4.747
Chile,1.376
China,6.8
Colombia,1.7
Comoros,3.303
Costa Rica,3.8
Croatia,2.941
Cyprus,3.366
Czech Republic,3.497
Denmark,1.932
Djibouti,7
Dominica,3.936
Dominican Republic,4.76
Ecuador,0.2
Egypt,4.1
El Salvador,2.3
Equatorial Guinea,-7.391
Eritrea,3.259
Estonia,4
Ethiopia,8.464
Fiji,3.8
Finland,2.756
France,1.569
Gabon,0.964
Germany,2.05
Ghana,5.891
Greece,1.755
Grenada,2.545
Guatemala,3.162
Guinea,6.66
Guyana,3.532
Haiti,1
Honduras,4
Hong Kong SAR,3.536
Hungary,3.2
Iceland,5.508
India,7.2
Indonesia,5.151
Iran,3.459
Iraq,-0.448
Israel,3.084
Italy,1.507
Jamaica,1.663
Japan,1.513
Jordan,2.3
Kazakhstan,3.331
Kenya,5.022
Kiribati,2.751
Kosovo,3.5
Kuwait,-2.076
Kyrgyz Republic,3.504
Laos,6.907
Latvia,3.842
Lesotho,4.636
Liberia,2.571
Lithuania,3.523
Luxembourg,3.875
Macau,6.765
Madagascar,4.336
Malawi,4.5
Malaysia,5.9
Maldives,4.551
Mali,5.3
Malta,5.142
Marshall Islands,1.908
Mauritania,3.762
Mauritius,3.9
Mexico,2.145
Micronesia,2.041
Moldova,4
Mongolia,2.031
Montenegro,2.969
Morocco,4.822
Mozambique,4.749
Namibia,0.792
Nauru,3.96
Nepal,7.499
Netherlands,3.064
New Zealand,5.891
Nicaragua,4.5
Niger,4.203
Nigeria,0.842
Norway,1.363
Oman,-0.016
Pakistan,5.277
Palau,1
Panama,5.3
Papua New Guinea,3.084
Paraguay,3.869
Peru,2.668
Philippines,6.6
Poland,3.842
Portugal,2.49
Qatar,2.52
Republic of Congo,-3.63
Romania,5.5
Russia,1.796
Rwanda,6.16
Sao Tome and Principe,5
San Marino,1.2
Saudi Arabia,0.131
Senegal,6.801
Serbia,3
Seychelles,4.062
Sierra Leone,6.034
Singapore,2.527
Slovak Republic,3.29
Slovenia,3.992
South Africa,0.695
Spain,3.074
Sri Lanka,4.726
Sudan,3.745
Suriname,-1.178
Swaziland,0.251
Sweden,3.098
Switzerland,1.008
Taiwan,1.983
Tajikistan,4.5
Tanzania,6.498
Thailand,3.708
The Bahamas,1.8
Togo,5
Tonga,3.055
Trinidad and Tobago,-3.176
Tunisia,2.333
Turkey,5.111
Turkmenistan,6.505
Uganda,4.443
Ukraine,2.04
United Arab Emirates,1.339
United Kingdom,1.656
United States,2.181
Uruguay,3.5
Uzbekistan,5.974
Vanuatu,4.5
Venezuela,-12
Vietnam,6.3
Yemen,-2.014
Zambia,3.978
Zimbabwe,2.814
